1622591582454 [Opening serial port: /dev/ttyTHS1.] 
1622591582760 [The robot is connected to ] [/dev/ttyTHS1] 
1622591582760 [Initial robot's topic...] 
1622591582769 [Start initializing navigation] 
1622591582769 [Start initializing navigation topic] 
1622591582807 [Initialization navigation topic finished] 
1622591582815 [Initialization navigation finished] 
1622591582876 [vl:0.0 vr:0.0 yaw:0.0] 
1622591582932 [vl:0.0 vr:0.0 yaw:0.0] 
1622591582976 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583028 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583076 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583128 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583176 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583230 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583276 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583328 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583376 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583429 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583476 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583529 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583576 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583629 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583676 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583728 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583776 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583829 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583877 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583928 [vl:0.0 vr:0.0 yaw:0.0] 
1622591583976 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584029 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584076 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584128 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584176 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584229 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584276 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584328 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584376 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584428 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584476 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584528 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584576 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584629 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584680 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584728 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584780 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584829 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584880 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584929 [vl:0.0 vr:0.0 yaw:0.0] 
1622591584977 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585029 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585081 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585128 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585176 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585228 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585280 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585329 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585377 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585432 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585476 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585529 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585576 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585628 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585676 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585728 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585776 [vl:0.0 vr:0.0 yaw:0.0] 
1622591585829 [vl:0.0 vr:0.0 yaw:0.0] 
