1623085287469 [Opening serial port: /dev/ttyTHS1.] 
1623085287775 [The robot is connected to ] [/dev/ttyTHS1] 
1623085287775 [Initial robot's topic...] 
1623085287780 [Start initializing navigation] 
1623085287780 [Start initializing navigation topic] 
1623085287868 [Initialization navigation topic finished] 
1623085287874 [Initialization navigation finished] 
1623085287948 [vl:0.0 vr:0.0 yaw:0.0] 
1623085287986 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288038 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288086 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288139 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288186 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288238 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288286 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288339 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288386 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288441 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288491 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288543 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288587 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288639 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288686 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288739 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288786 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288837 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288887 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288943 [vl:0.0 vr:0.0 yaw:0.0] 
1623085288986 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289038 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289086 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289137 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289190 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289243 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289287 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289339 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289387 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289438 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289486 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289539 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289586 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289639 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289686 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289739 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289786 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289839 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289886 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289939 [vl:0.0 vr:0.0 yaw:0.0] 
1623085289986 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290039 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290086 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290139 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290186 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290239 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290286 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290339 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290386 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290441 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290486 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290538 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290587 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290640 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290686 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290739 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290786 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290839 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290886 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290939 [vl:0.0 vr:0.0 yaw:0.0] 
1623085290986 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291039 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291086 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291138 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291186 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291238 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291287 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291339 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291387 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291439 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291486 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291537 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291586 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291637 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291686 [vl:0.0 vr:0.0 yaw:0.0] 
1623085291739 [vl:0.0 vr:0.0 yaw:0.0] 
