1623025622601 [Opening serial port: /dev/ttyTHS1.] 
1623025622908 [The robot is connected to ] [/dev/ttyTHS1] 
1623025622908 [Initial robot's topic...] 
1623025622921 [Start initializing navigation] 
1623025622921 [Start initializing navigation topic] 
1623025623059 [Initialization navigation topic finished] 
1623025623068 [Initialization navigation finished] 
1623025623138 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623191 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623240 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623290 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623337 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623397 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623452 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623494 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623537 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623590 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623640 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623690 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623737 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623790 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623846 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623890 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623937 [vl:0.0 vr:0.0 yaw:0.0] 
1623025623996 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624039 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624090 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624149 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624192 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624237 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624289 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624337 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624389 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624437 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624491 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624537 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624600 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624637 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624690 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624737 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624790 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624846 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624890 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624937 [vl:0.0 vr:0.0 yaw:0.0] 
1623025624990 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625037 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625092 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625137 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625191 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625237 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625290 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625351 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625391 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625441 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625491 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625538 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625593 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625642 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625694 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625741 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625791 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625842 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625891 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625937 [vl:0.0 vr:0.0 yaw:0.0] 
1623025625990 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626038 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626091 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626137 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626190 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626237 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626290 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626338 [vl:0.0 vr:0.0 yaw:0.0] 
1623025626394 [vl:0.0 vr:0.0 yaw:0.0] 
