1623086579645 [Opening serial port: /dev/ttyTHS1.] 
1623086579951 [The robot is connected to ] [/dev/ttyTHS1] 
1623086579951 [Initial robot's topic...] 
1623086579956 [Start initializing navigation] 
1623086579956 [Start initializing navigation topic] 
1623086580075 [Initialization navigation topic finished] 
1623086580094 [Initialization navigation finished] 
1623086580160 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580261 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580314 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580358 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580510 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580558 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580610 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580658 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580758 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580810 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580910 [vl:0.0 vr:0.0 yaw:0.0] 
1623086580958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581010 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581058 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581102 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581158 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581314 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581358 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581514 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581562 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581610 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581658 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581758 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581810 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581912 [vl:0.0 vr:0.0 yaw:0.0] 
1623086581958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582013 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582059 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582110 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582158 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582309 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582358 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582511 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582562 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582610 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582662 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582762 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582810 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582910 [vl:0.0 vr:0.0 yaw:0.0] 
1623086582958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583010 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583058 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583110 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583158 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583310 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583357 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583409 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583510 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583558 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583609 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583658 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583762 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583814 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583914 [vl:0.0 vr:0.0 yaw:0.0] 
1623086583958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584010 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584062 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584110 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584162 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584310 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584358 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584409 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584462 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584509 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584558 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584609 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584657 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584709 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584760 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584810 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584909 [vl:0.0 vr:0.0 yaw:0.0] 
1623086584958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585009 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585058 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585110 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585158 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585310 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585362 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585509 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585562 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585609 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585658 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585758 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585809 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585910 [vl:0.0 vr:0.0 yaw:0.0] 
1623086585958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586010 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586058 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586110 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586157 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586210 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586310 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586359 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586509 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586559 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586609 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586661 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586758 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586813 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586857 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586910 [vl:0.0 vr:0.0 yaw:0.0] 
1623086586958 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587010 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587058 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587114 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587157 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587209 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587262 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587310 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587358 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587509 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587558 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587610 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587657 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587710 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587757 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587809 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587858 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587914 [vl:0.0 vr:0.0 yaw:0.0] 
1623086587957 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588010 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588057 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588111 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588158 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588209 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588258 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588309 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588358 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588410 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588458 [vl:0.0 vr:0.0 yaw:0.0] 
1623086588510 [vl:0.0 vr:0.0 yaw:0.0] 
