1623086336643 [Opening serial port: /dev/ttyTHS1.] 
1623086336953 [The robot is connected to ] [/dev/ttyTHS1] 
1623086336953 [Initial robot's topic...] 
1623086336959 [Start initializing navigation] 
1623086336959 [Start initializing navigation topic] 
1623086337039 [Initialization navigation topic finished] 
1623086337048 [Initialization navigation finished] 
1623086337114 [vl:-0.0455 vr:0.0 yaw:0.0] 
1623086337162 [vl:-0.016 vr:0.0 yaw:0.0] 
1623086337214 [vl:-0.062 vr:0.0 yaw:0.0] 
1623086337262 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337313 [vl:-0.0295 vr:0.0 yaw:0.0] 
1623086337362 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086337413 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337462 [vl:-0.0305 vr:0.0 yaw:0.0] 
1623086337522 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086337562 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337614 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337668 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337713 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337762 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086337814 [vl:-0.016 vr:0.0 yaw:0.0] 
1623086337862 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086337913 [vl:0.0 vr:0.0 yaw:0.0] 
1623086337962 [vl:-0.0455 vr:0.0 yaw:0.0] 
1623086338013 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086338062 [vl:-0.0305 vr:0.0 yaw:0.0] 
1623086338113 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086338162 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338213 [vl:-0.0305 vr:0.0 yaw:0.0] 
1623086338262 [vl:-0.0145 vr:0.0 yaw:0.0] 
1623086338316 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338370 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338413 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338466 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338513 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338562 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338613 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338663 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338713 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338762 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338814 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338862 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338913 [vl:0.0 vr:0.0 yaw:0.0] 
1623086338962 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339014 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339062 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339113 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339162 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339213 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339266 [vl:0.0 vr:0.0 yaw:0.0] 
1623086339318 [vl:0.0 vr:0.0 yaw:0.0] 
