1623198201630 [Opening serial port: /dev/ttyTHS1.] 
1623198201946 [The robot is connected to ] [/dev/ttyTHS1] 
1623198201947 [Initial robot's topic...] 
1623198201952 [Start initializing navigation] 
1623198201953 [Start initializing navigation topic] 
1623198202037 [Initialization navigation topic finished] 
1623198202042 [Initialization navigation finished] 
1623198202114 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202157 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202203 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202257 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202303 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202357 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202403 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202457 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202503 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202557 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202603 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202656 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202709 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202757 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202803 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202857 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202903 [vl:0.0 vr:0.0 yaw:0.0] 
1623198202957 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203003 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203057 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203103 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203156 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203203 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203263 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203303 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203361 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203404 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203457 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203503 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203557 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203603 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203657 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203703 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203757 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203804 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203860 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203903 [vl:0.0 vr:0.0 yaw:0.0] 
1623198203957 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204003 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204057 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204103 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204156 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204203 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204257 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204303 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204357 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204403 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204457 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204503 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204557 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204603 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204657 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204703 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204757 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204803 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204857 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204903 [vl:0.0 vr:0.0 yaw:0.0] 
1623198204957 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205003 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205057 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205103 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205157 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205203 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205257 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205303 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205357 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205403 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205457 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205503 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205557 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205603 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205657 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205703 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205757 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205803 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205856 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205904 [vl:0.0 vr:0.0 yaw:0.0] 
1623198205957 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206004 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206057 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206104 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206157 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206208 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206257 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206303 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206357 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206403 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206461 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206503 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206557 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206608 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206657 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206703 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206757 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206808 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206857 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206903 [vl:0.0 vr:0.0 yaw:0.0] 
1623198206957 [vl:0.0 vr:0.0 yaw:0.0] 
1623198207007 [vl:0.0 vr:0.0 yaw:0.0] 
1623198207057 [vl:0.0 vr:0.0 yaw:0.0] 
