1622963842791 [Opening serial port: /dev/ttyTHS1.] 
1622963843097 [The robot is connected to ] [/dev/ttyTHS1] 
1622963843097 [Initial robot's topic...] 
1622963843116 [Start initializing navigation] 
1622963843116 [Start initializing navigation topic] 
1622963843242 [Initialization navigation topic finished] 
1622963843254 [Initialization navigation finished] 
1622963843319 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843365 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843419 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843465 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843519 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843566 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843619 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843666 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843722 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843771 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843821 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843866 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843918 [vl:0.0 vr:0.0 yaw:0.0] 
1622963843966 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844019 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844067 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844119 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844172 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844219 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844266 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844318 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844366 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844419 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844465 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844518 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844566 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844618 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844666 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844719 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844767 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844819 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844866 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844919 [vl:0.0 vr:0.0 yaw:0.0] 
1622963844966 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845018 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845066 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845119 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845220 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845267 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845323 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845367 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845419 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845466 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845526 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845566 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845619 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845665 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845720 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845766 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845821 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845870 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845921 [vl:0.0 vr:0.0 yaw:0.0] 
1622963845966 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846019 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846068 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846121 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846218 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846266 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846323 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846366 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846418 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846466 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846519 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846566 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846619 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846668 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846722 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846766 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846820 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846875 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846919 [vl:0.0 vr:0.0 yaw:0.0] 
1622963846966 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847019 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847074 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847122 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847221 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847268 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847319 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847365 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847420 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847494 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847531 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847569 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847618 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847666 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847717 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847765 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847823 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847866 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847917 [vl:0.0 vr:0.0 yaw:0.0] 
1622963847965 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848017 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848066 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848118 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848218 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848266 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848321 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848371 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848418 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848471 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848519 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848566 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848617 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848666 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848717 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848770 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848819 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848867 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848920 [vl:0.0 vr:0.0 yaw:0.0] 
1622963848966 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849021 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849066 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849128 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849219 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849266 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849318 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849366 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849418 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849486 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849522 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849566 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849618 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849671 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849722 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849766 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849819 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849866 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849924 [vl:0.0 vr:0.0 yaw:0.0] 
1622963849967 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850017 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850067 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850122 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850225 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850272 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850319 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850365 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850417 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850466 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850517 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850565 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850619 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850667 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850720 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850768 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850824 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850866 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850919 [vl:0.0 vr:0.0 yaw:0.0] 
1622963850979 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851017 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851065 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851118 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851221 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851265 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851328 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851366 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851434 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851466 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851518 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851573 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851623 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851666 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851717 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851765 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851827 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851866 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851914 [vl:0.0 vr:0.0 yaw:0.0] 
1622963851966 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852034 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852066 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852120 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852166 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852219 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852276 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852319 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852367 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852419 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852466 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852526 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852589 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852622 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852667 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852722 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852768 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852819 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852867 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852919 [vl:0.0 vr:0.0 yaw:0.0] 
1622963852972 [vl:0.0 vr:0.0 yaw:0.0] 
