1622675642073 [Opening serial port: /dev/ttyTHS1.] 
1622675642379 [The robot is connected to ] [/dev/ttyTHS1] 
1622675642379 [Initial robot's topic...] 
1622675642388 [Start initializing navigation] 
1622675642389 [Start initializing navigation topic] 
1622675642436 [Initialization navigation topic finished] 
1622675642445 [Initialization navigation finished] 
1622675642511 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642562 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642614 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642710 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642762 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642810 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642863 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642910 [vl:0.0 vr:0.0 yaw:0.0] 
1622675642962 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643010 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643062 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643111 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643162 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643210 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643262 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643315 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643362 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643410 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643467 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643511 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643562 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643610 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643724 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643762 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643811 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643866 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643910 [vl:0.0 vr:0.0 yaw:0.0] 
1622675643962 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644011 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644062 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644112 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644162 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644211 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644262 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644310 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644362 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644410 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644462 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644510 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644571 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644611 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644663 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644714 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644768 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644814 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644862 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644924 [vl:0.0 vr:0.0 yaw:0.0] 
1622675644963 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645013 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645066 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645110 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645163 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645215 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645263 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645311 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645362 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645413 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645462 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645510 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645562 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645614 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645664 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645717 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645762 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645814 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645868 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645911 [vl:0.0 vr:0.0 yaw:0.0] 
1622675645962 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646010 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646061 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646127 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646162 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646210 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646270 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646322 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646369 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646410 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646466 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646522 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646565 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646614 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646710 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646763 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646810 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646869 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646910 [vl:0.0 vr:0.0 yaw:0.0] 
1622675646963 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647010 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647064 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647110 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647162 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647210 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647262 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647319 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647362 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647410 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647482 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647510 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647570 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647610 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647711 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647770 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647810 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647867 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647910 [vl:0.0 vr:0.0 yaw:0.0] 
1622675647963 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648018 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648067 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648110 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648166 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648210 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648266 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648310 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648375 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648414 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648462 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648510 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648562 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648610 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648663 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648714 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648762 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648810 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648868 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648911 [vl:0.0 vr:0.0 yaw:0.0] 
1622675648964 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649020 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649062 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649110 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649165 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649218 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649263 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649309 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649362 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649411 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649462 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649511 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649562 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649610 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649711 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649762 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649810 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649862 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649910 [vl:0.0 vr:0.0 yaw:0.0] 
1622675649962 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650011 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650063 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650111 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650173 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650215 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650262 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650310 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650361 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650422 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650465 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650509 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650563 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650639 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650710 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650763 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650810 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650862 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650911 [vl:0.0 vr:0.0 yaw:0.0] 
1622675650962 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651011 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651062 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651109 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651162 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651210 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651263 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651309 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651362 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651417 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651462 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651510 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651562 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651609 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651662 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651709 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651761 [vl:0.0 vr:0.0 yaw:0.0] 
1622675651809 [vl:0.0 vr:0.0 yaw:0.0] 
