1622390415030 [Opening serial port: /dev/ttyTHS1.] 
1622390415335 [The robot is connected to ] [/dev/ttyTHS1] 
1622390415335 [Initial robot's topic...] 
1622390415348 [Start initializing navigation] 
1622390415348 [Start initializing navigation topic] 
1622390415400 [Initialization navigation topic finished] 
1622390415406 [Initialization navigation finished] 
1622390415472 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415523 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415569 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415626 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415675 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415718 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415774 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415823 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415871 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415918 [vl:0.0 vr:0.0 yaw:0.0] 
1622390415969 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416022 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416070 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416118 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416170 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416218 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416274 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416322 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416370 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416418 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416470 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416518 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416570 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416618 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416670 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416718 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416770 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416818 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416874 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416922 [vl:0.0 vr:0.0 yaw:0.0] 
1622390416970 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417018 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417070 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417121 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417169 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417218 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417270 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417321 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417370 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417418 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417470 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417534 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417570 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417618 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417676 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417724 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417770 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417818 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417870 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417925 [vl:0.0 vr:0.0 yaw:0.0] 
1622390417970 [vl:0.0 vr:0.0 yaw:0.0] 
1622390418018 [vl:0.0 vr:0.0 yaw:0.0] 
1622390418070 [vl:0.0 vr:0.0 yaw:0.0] 
1622390418118 [vl:0.0 vr:0.0 yaw:0.0] 
