1623195128875 [Opening serial port: /dev/ttyTHS1.] 
1623195129182 [The robot is connected to ] [/dev/ttyTHS1] 
1623195129182 [Initial robot's topic...] 
1623195129188 [Start initializing navigation] 
1623195129189 [Start initializing navigation topic] 
1623195129271 [Initialization navigation topic finished] 
1623195129276 [Initialization navigation finished] 
1623195129353 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129388 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129440 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129492 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129540 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129588 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129640 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129693 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129740 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129788 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129840 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129888 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129940 [vl:0.0 vr:0.0 yaw:0.0] 
1623195129988 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130040 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130088 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130140 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130188 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130240 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130288 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130340 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130388 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130440 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130488 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130540 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130588 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130640 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130688 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130740 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130788 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130840 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130888 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130940 [vl:0.0 vr:0.0 yaw:0.0] 
1623195130988 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131040 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131088 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131140 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131189 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131240 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131287 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131340 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131388 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131440 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131487 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131540 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131588 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131640 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131691 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131740 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131788 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131840 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131888 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131940 [vl:0.0 vr:0.0 yaw:0.0] 
1623195131988 [vl:0.0 vr:0.0 yaw:0.0] 
1623195132040 [vl:0.0 vr:0.0 yaw:0.0] 
1623195132088 [vl:0.0 vr:0.0 yaw:0.0] 
1623195132141 [vl:0.0 vr:0.0 yaw:0.0] 
1623195132190 [vl:0.0 vr:0.0 yaw:0.0] 
1623195132240 [vl:0.0 vr:0.0 yaw:0.0] 
1623195132288 [vl:0.0 vr:0.0 yaw:0.0] 
