1622867507931 [Opening serial port: /dev/ttyTHS1.] 
1622867508243 [The robot is connected to ] [/dev/ttyTHS1] 
1622867508243 [Initial robot's topic...] 
1622867508266 [Start initializing navigation] 
1622867508266 [Start initializing navigation topic] 
1622867508406 [Initialization navigation topic finished] 
1622867508422 [Initialization navigation finished] 
1622867508487 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508535 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508590 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508635 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508687 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508734 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508794 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508836 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508888 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508939 [vl:0.0 vr:0.0 yaw:0.0] 
1622867508995 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509036 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509087 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509135 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509187 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509231 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509286 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509337 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509386 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509438 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509495 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509536 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509587 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509635 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509686 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509747 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509786 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509836 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509887 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509939 [vl:0.0 vr:0.0 yaw:0.0] 
1622867509987 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510039 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510087 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510139 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510186 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510235 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510286 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510335 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510386 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510435 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510487 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510535 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510587 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510636 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510686 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510735 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510793 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510835 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510886 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510939 [vl:0.0 vr:0.0 yaw:0.0] 
1622867510986 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511039 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511087 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511135 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511186 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511235 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511291 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511339 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511387 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511440 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511486 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511536 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511591 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511635 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511686 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511735 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511787 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511843 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511890 [vl:0.0 vr:0.0 yaw:0.0] 
1622867511934 [vl:0.0 vr:0.0 yaw:0.0] 
