1623196005934 [Opening serial port: /dev/ttyTHS1.] 
1623196006239 [The robot is connected to ] [/dev/ttyTHS1] 
1623196006239 [Initial robot's topic...] 
1623196006245 [Start initializing navigation] 
1623196006245 [Start initializing navigation topic] 
1623196006317 [Initialization navigation topic finished] 
1623196006328 [Initialization navigation finished] 
1623196006396 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006448 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006492 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006548 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006592 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006647 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006692 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006744 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006796 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006844 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006904 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006944 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006992 [vl:0.0 vr:0.0 yaw:0.0] 
1623196006998 [log_latest_command] [[ b y t e a r r a y ( b ' \ x a a \ x f f \ x a 0 \ x 0 2 I \ x 0 f \ x 0 e ' ) ]] 
1623196007044 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007096 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007144 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007196 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007244 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007296 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007348 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007396 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007444 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007496 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007544 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007596 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007648 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007696 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007744 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007796 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007845 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007896 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007944 [vl:0.0 vr:0.0 yaw:0.0] 
1623196007992 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008044 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008100 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008156 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008196 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008245 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008296 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008345 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008400 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008444 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008496 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008544 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008596 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008652 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008696 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008745 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008767 [log_latest_command] [[ b y t e a r r a y ( b ' \ x a a \ x f f \ x a 0 \ x 0 2 I \ x 0 f \ x 0 e ' ) ]] 
1623196008804 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008844 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008896 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008944 [vl:0.0 vr:0.0 yaw:0.0] 
1623196008996 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009044 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009096 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009144 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009192 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009249 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009296 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009344 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009396 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009444 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009496 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009543 [log_latest_command] [[ b y t e a r r a y ( b ' \ x a a \ x f f \ x a 0 \ x 0 2 I \ x 0 f \ x 0 e ' ) ]] 
1623196009556 [vl:0.0 vr:0.0 yaw:0.0] 
1623196009596 [vl:-0.0295 vr:-0.014 yaw:0.0] 
1623196009652 [vl:-0.0305 vr:-0.014 yaw:0.0] 
1623196009700 [vl:-0.047 vr:-0.014 yaw:0.0] 
1623196009744 [vl:-0.0305 vr:-0.014 yaw:0.0] 
1623196009796 [vl:-0.077 vr:0.0 yaw:0.0] 
1623196009848 [vl:-0.062 vr:0.0 yaw:0.0] 
1623196009901 [vl:-0.0455 vr:-0.0285 yaw:0.0] 
1623196009931 [log_latest_command] [[ b y t e a r r a y ( b ' \ x a a \ x f f \ x a 0 \ x 0 2 I \ x 0 f \ x 0 e ' ) ]] 
1623196009958 [vl:-0.062 vr:-0.014 yaw:0.0] 
1623196009997 [vl:-0.0325 vr:-0.014 yaw:0.0] 
1623196010043 [vl:-0.0145 vr:-0.0285 yaw:0.0] 
1623196010096 [vl:0.0 vr:0.0 yaw:0.0] 
1623196010143 [vl:-0.0305 vr:0.0 yaw:0.0] 
1623196010196 [vl:-0.0455 vr:-0.061 yaw:0.0] 
1623196010244 [vl:-0.0145 vr:-0.03 yaw:0.0] 
1623196010296 [vl:-0.062 vr:-0.063 yaw:0.0] 
1623196010344 [vl:-0.0455 vr:-0.061 yaw:0.0] 
1623196010400 [vl:-0.0305 vr:-0.059 yaw:0.0] 
1623196010444 [vl:-0.0305 vr:-0.0755 yaw:0.0] 
1623196010496 [vl:-0.047 vr:-0.061 yaw:0.0] 
1623196010544 [vl:-0.077 vr:-0.0465 yaw:0.0] 
1623196010600 [vl:-0.0605 vr:-0.061 yaw:0.0] 
1623196010644 [vl:-0.0455 vr:-0.0755 yaw:0.0] 
1623196010696 [vl:-0.062 vr:-0.061 yaw:0.0] 
1623196010759 [log_latest_command] [[ b y t e a r r a y ( b ' \ x a a \ x f f \ x a 0 \ x 0 2 I \ x 0 f \ x 0 e ' ) ]] 
1623196010772 [vl:-0.062 vr:-0.061 yaw:0.0] 
1623196010800 [vl:-0.016 vr:-0.014 yaw:0.0] 
1623196010844 [vl:-0.0305 vr:0.0 yaw:0.0] 
1623196010896 [vl:0.0 vr:0.0 yaw:0.0] 
1623196010948 [vl:0.0 vr:0.0 yaw:0.0] 
1623196010996 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011044 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011096 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011144 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011192 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011244 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011296 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011344 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011399 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011444 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011496 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011549 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011606 [vl:0.0 vr:0.0 yaw:0.0] 
1623196011644 [vl:0.0 vr:0.0 yaw:0.0] 
