1622676597966 [Opening serial port: /dev/ttyTHS1.] 
1622676598271 [The robot is connected to ] [/dev/ttyTHS1] 
1622676598271 [Initial robot's topic...] 
1622676598277 [Start initializing navigation] 
1622676598277 [Start initializing navigation topic] 
1622676598329 [Initialization navigation topic finished] 
1622676598338 [Initialization navigation finished] 
1622676598406 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598455 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598506 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598554 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598606 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598655 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598706 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598754 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598806 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598855 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598906 [vl:0.0 vr:0.0 yaw:0.0] 
1622676598954 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599005 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599054 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599106 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599155 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599206 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599255 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599306 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599355 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599406 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599455 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599506 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599554 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599606 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599655 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599706 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599754 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599810 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599855 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599906 [vl:0.0 vr:0.0 yaw:0.0] 
1622676599955 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600006 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600054 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600106 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600154 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600206 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600254 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600306 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600354 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600406 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600455 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600506 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600555 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600606 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600654 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600710 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600754 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600806 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600854 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600906 [vl:0.0 vr:0.0 yaw:0.0] 
1622676600953 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601005 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601055 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601106 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601154 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601206 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601260 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601310 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601354 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601405 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601461 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601505 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601554 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601606 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601655 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601714 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601754 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601805 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601863 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601906 [vl:0.0 vr:0.0 yaw:0.0] 
1622676601958 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602005 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602055 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602107 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602154 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602206 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602254 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602305 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602354 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602406 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602455 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602506 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602554 [vl:0.0 vr:0.0 yaw:0.0] 
1622676602610 [vl:0.0 vr:0.0 yaw:0.0] 
