1622952824674 [Opening serial port: /dev/ttyTHS1.] 
1622952824985 [The robot is connected to ] [/dev/ttyTHS1] 
1622952824985 [Initial robot's topic...] 
1622952824995 [Start initializing navigation] 
1622952824995 [Start initializing navigation topic] 
1622952825086 [Initialization navigation topic finished] 
1622952825092 [Initialization navigation finished] 
1622952825156 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825203 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825256 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825312 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825356 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825403 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825456 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825509 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825560 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825603 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825657 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825709 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825761 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825803 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825860 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825903 [vl:0.0 vr:0.0 yaw:0.0] 
1622952825959 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826003 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826056 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826103 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826159 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826203 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826258 [log_latest_command] [[ b y t e a r r a y ( b ' \ x a a \ x f f \ x a 0 \ x 0 2 I \ x 0 f \ x 0 e ' ) ]] 
1622952826260 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826303 [vl:0.0 vr:0.0 yaw:0.0] 
1622952826356 [vl:0.0 vr:0.0 yaw:0.0] 
