1622891115613 [Opening serial port: /dev/ttyTHS1.] 
1622891115920 [The robot is connected to ] [/dev/ttyTHS1] 
1622891115920 [Initial robot's topic...] 
1622891115927 [Start initializing navigation] 
1622891115927 [Start initializing navigation topic] 
1622891116044 [Initialization navigation topic finished] 
1622891116052 [Initialization navigation finished] 
1622891116118 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116166 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116214 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116266 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116314 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116366 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116414 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116466 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116514 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116566 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116614 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116666 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116714 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116766 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116813 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116866 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116913 [vl:0.0 vr:0.0 yaw:0.0] 
1622891116966 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117014 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117067 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117114 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117166 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117218 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117266 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117314 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117367 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117416 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117466 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117513 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117566 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117614 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117666 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117713 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117767 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117821 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117866 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117914 [vl:0.0 vr:0.0 yaw:0.0] 
1622891117966 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118013 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118066 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118114 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118170 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118213 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118266 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118314 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118370 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118414 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118470 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118514 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118566 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118613 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118670 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118714 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118767 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118814 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118866 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118914 [vl:0.0 vr:0.0 yaw:0.0] 
1622891118967 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119014 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119066 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119114 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119166 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119220 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119270 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119314 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119366 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119414 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119466 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119513 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119567 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119613 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119666 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119714 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119766 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119817 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119870 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119914 [vl:0.0 vr:0.0 yaw:0.0] 
1622891119966 [vl:0.0 vr:0.0 yaw:0.0] 
1622891120014 [vl:0.0 vr:0.0 yaw:0.0] 
1622891120066 [vl:0.0 vr:0.0 yaw:0.0] 
1622891120132 [vl:0.0 vr:0.0 yaw:0.0] 
