1622504688156 [Opening serial port: /dev/ttyTHS1.] 
1622504688462 [The robot is connected to ] [/dev/ttyTHS1] 
1622504688462 [Initial robot's topic...] 
1622504688477 [Start initializing navigation] 
1622504688477 [Start initializing navigation topic] 
1622504688569 [Initialization navigation topic finished] 
1622504688580 [Initialization navigation finished] 
1622504688648 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688699 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688750 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688799 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688845 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688898 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688945 [vl:0.0 vr:0.0 yaw:0.0] 
1622504688998 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689046 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689099 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689145 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689198 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689246 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689297 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689350 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689402 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689445 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689498 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689549 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689598 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689650 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689702 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689745 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689798 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689845 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689898 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689950 [vl:0.0 vr:0.0 yaw:0.0] 
1622504689998 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690050 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690098 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690145 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690198 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690246 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690303 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690366 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690398 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690445 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690502 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690545 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690598 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690645 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690698 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690750 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690798 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690847 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690898 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690951 [vl:0.0 vr:0.0 yaw:0.0] 
1622504690998 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691046 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691098 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691146 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691199 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691246 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691301 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691345 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691398 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691446 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691497 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691554 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691598 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691645 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691709 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691752 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691802 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691846 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691897 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691950 [vl:0.0 vr:0.0 yaw:0.0] 
1622504691998 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692045 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692097 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692151 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692198 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692250 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692297 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692346 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692400 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692445 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692498 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692545 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692599 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692650 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692707 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692750 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692797 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692845 [vl:0.0 vr:0.0 yaw:0.0] 
1622504692898 [vl:0.0 vr:0.0 yaw:0.0] 
