1623198500316 [Opening serial port: /dev/ttyTHS1.] 
1623198500623 [The robot is connected to ] [/dev/ttyTHS1] 
1623198500623 [Initial robot's topic...] 
1623198500629 [Start initializing navigation] 
1623198500629 [Start initializing navigation topic] 
1623198500757 [Initialization navigation topic finished] 
1623198500766 [Initialization navigation finished] 
1623198500828 [vl:0.0 vr:0.0 yaw:0.0] 
1623198500886 [vl:0.0 vr:0.0 yaw:0.0] 
1623198500928 [vl:0.0 vr:0.0 yaw:0.0] 
1623198500971 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501028 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501080 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501129 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501180 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501228 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501280 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501332 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501381 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501428 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501480 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501534 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501580 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501628 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501680 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501729 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501784 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501828 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501881 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501929 [vl:0.0 vr:0.0 yaw:0.0] 
1623198501980 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502029 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502080 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502128 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502180 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502228 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502281 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502331 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502380 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502428 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502480 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502528 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502580 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502628 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502681 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502728 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502780 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502828 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502884 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502928 [vl:0.0 vr:0.0 yaw:0.0] 
1623198502980 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503028 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503080 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503128 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503180 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503228 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503280 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503328 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503380 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503428 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503480 [vl:0.0 vr:0.0 yaw:0.0] 
1623198503528 [vl:0.0 vr:0.0 yaw:0.0] 
