1623084796760 [Opening serial port: /dev/ttyTHS1.] 
1623084797066 [The robot is connected to ] [/dev/ttyTHS1] 
1623084797066 [Initial robot's topic...] 
1623084797072 [Start initializing navigation] 
1623084797072 [Start initializing navigation topic] 
1623084797159 [Initialization navigation topic finished] 
1623084797166 [Initialization navigation finished] 
1623084797244 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797330 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797429 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797582 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797630 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797683 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797730 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797784 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797830 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797882 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084797982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798030 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798230 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798292 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798332 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798384 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798429 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798582 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798682 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798730 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798782 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798830 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798882 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084798982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799029 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799230 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799286 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799330 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799429 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799583 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799731 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799782 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799830 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799882 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084799982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800030 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800230 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800329 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800381 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800430 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800529 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800582 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800630 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800682 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800729 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800782 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800830 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800882 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800929 [vl:0.0 vr:0.0 yaw:0.0] 
1623084800982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801030 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801230 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801330 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801430 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801481 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801581 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801682 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801730 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801781 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801829 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801881 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084801982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802030 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802229 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802286 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802329 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802430 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802481 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802529 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802581 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802729 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802781 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802829 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802882 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802929 [vl:0.0 vr:0.0 yaw:0.0] 
1623084802982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803029 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803081 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803185 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803229 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803329 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803429 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803481 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803581 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803729 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803781 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803830 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803882 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084803981 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804030 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804130 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804229 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804329 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804381 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804430 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804529 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804582 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804685 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804729 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804782 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804829 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804881 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084804981 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805029 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805129 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805181 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805230 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805329 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805381 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805434 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805486 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805581 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805630 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805730 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805781 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805829 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805881 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084805981 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806029 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806081 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806133 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806182 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806229 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806333 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806381 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806429 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806533 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806582 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806629 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806729 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806782 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806834 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806881 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806929 [vl:0.0 vr:0.0 yaw:0.0] 
1623084806981 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807029 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807082 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807129 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807181 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807234 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807330 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807429 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807529 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807581 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807630 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807730 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807781 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807830 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807886 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807930 [vl:0.0 vr:0.0 yaw:0.0] 
1623084807982 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808033 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808081 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808129 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808181 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808233 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808282 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808334 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808382 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808434 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808482 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808530 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808582 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808630 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808681 [vl:0.0 vr:0.0 yaw:0.0] 
1623084808729 [vl:0.0 vr:0.0 yaw:0.0] 
